txn_id,timestamp,amount,bank,hour,previous_failures,is_subscription,days_since_last_success,failure_reason,would_retry_succeed
txn_405628,2026-08-31T01:36:41.568142,1469.43,Axis,15,0,0,49,insufficient_funds,0
txn_748307,2026-08-16T01:36:41.568182,910.56,SBI,8,3,0,46,issuer_down,0
txn_866577,2026-08-05T01:36:41.568221,317.4,SBI,17,1,1,58,issuer_down,1
txn_730152,2026-07-25T01:36:41.568269,256.16,IDFC,21,0,0,2,bank_timeout,0
txn_320984,2026-08-01T01:36:41.568319,965.13,ICICI,22,0,0,24,network_error,1
txn_224046,2026-08-09T01:36:41.568358,3896.64,Kotak,19,1,1,16,insufficient_funds,0
txn_131024,2026-07-26T01:36:41.568407,116.91,IDFC,21,0,0,62,bank_timeout,1
txn_476836,2026-07-29T01:36:41.568453,4916.57,YesBank,14,0,0,8,otp_failed,1
txn_834994,2026-08-09T01:36:41.568498,7394.47,IDFC,7,1,1,30,insufficient_funds,0
txn_174740,2026-09-05T01:36:41.568540,4169.64,ICICI,22,0,0,62,network_error,1
txn_765022,2026-09-01T01:36:41.568588,423.71,ICICI,21,1,0,1,issuer_down,0
txn_554605,2026-08-09T01:36:41.568628,431.07,YesBank,22,0,0,51,otp_failed,1
txn_595972,2026-08-14T01:36:41.568667,959.11,Axis,15,0,0,39,bank_timeout,1
txn_987225,2026-08-05T01:36:41.568706,1357.45,ICICI,9,3,1,52,bank_timeout,1
txn_636226,2026-08-04T01:36:41.568750,920.78,Axis,15,0,0,32,issuer_down,1
txn_251836,2026-08-24T01:36:41.568798,1564.35,HDFC,18,2,0,65,issuer_down,0
txn_307869,2026-08-03T01:36:41.568839,339.58,Kotak,18,1,0,8,bank_timeout,1
txn_320156,2026-08-01T01:36:41.568879,159.05,SBI,8,0,1,29,insufficient_funds,0
txn_406955,2026-08-24T01:36:41.568946,1074.19,SBI,16,1,0,24,network_error,1
txn_219180,2026-08-18T01:36:41.568996,285.54,IDFC,2,0,1,62,bank_timeout,1
txn_766490,2026-08-16T01:36:41.569036,845.88,Axis,18,0,0,69,insufficient_funds,1
txn_989465,2026-09-01T01:36:41.569076,524.97,Axis,20,2,1,53,risk_block,1
txn_625830,2026-08-24T01:36:41.569115,846.19,SBI,17,3,1,58,risk_block,1
txn_128295,2026-07-23T01:36:41.569155,3494.89,ICICI,8,2,1,5,risk_block,0
txn_348683,2026-07-29T01:36:41.569195,2022.46,IDFC,6,4,1,70,otp_failed,0
txn_890141,2026-08-17T01:36:41.569234,364.58,SBI,9,2,0,67,bank_timeout,1
txn_515916,2026-08-16T01:36:41.569273,2286.31,Kotak,16,0,0,6,otp_failed,0
txn_117640,2026-08-23T01:36:41.569313,1352.09,YesBank,20,4,0,19,issuer_down,1
txn_260775,2026-08-09T01:36:41.569362,234.6,IDFC,10,0,1,72,bank_timeout,1
txn_483934,2026-08-20T01:36:41.569403,2987.29,Axis,7,0,0,41,insufficient_funds,0
txn_675278,2026-08-12T01:36:41.569442,305.64,Kotak,15,0,1,6,issuer_down,0
txn_127712,2026-08-19T01:36:41.569491,112.1,ICICI,9,3,1,5,insufficient_funds,1
txn_374907,2026-08-20T01:36:41.569567,99.6,YesBank,16,2,0,1,insufficient_funds,1
txn_244528,2026-08-16T01:36:41.569640,2493.81,Kotak,4,4,0,53,issuer_down,0
txn_900921,2026-08-03T01:36:41.569702,196.17,SBI,12,1,0,32,insufficient_funds,1
txn_910717,2026-08-20T01:36:41.569750,518.27,YesBank,21,2,0,65,risk_block,0
txn_650222,2026-08-10T01:36:41.569819,1185.17,ICICI,10,0,0,38,risk_block,0
txn_347940,2026-08-08T01:36:41.569859,2532.76,SBI,1,0,0,30,risk_block,0
txn_779574,2026-08-21T01:36:41.569931,100.63,Kotak,1,1,0,43,insufficient_funds,1
txn_463714,2026-08-10T01:36:41.569983,567.75,IDFC,10,0,0,4,bank_timeout,0
txn_230560,2026-09-01T01:36:41.570022,213.79,ICICI,18,0,0,42,insufficient_funds,1
txn_909006,2026-08-15T01:36:41.570129,1021.73,HDFC,11,0,0,45,bank_timeout,1
txn_173686,2026-08-23T01:36:41.570180,1471.33,HDFC,2,0,0,56,bank_timeout,1
txn_548874,2026-07-23T01:36:41.570219,313.76,ICICI,12,0,0,7,risk_block,0
txn_195462,2026-08-15T01:36:41.570262,413.18,SBI,14,0,1,28,insufficient_funds,1
txn_749324,2026-08-19T01:36:41.570301,1551.47,ICICI,11,0,0,25,risk_block,0
txn_809913,2026-08-03T01:36:41.570347,652.78,ICICI,14,1,0,42,insufficient_funds,1
txn_625893,2026-09-02T01:36:41.570389,243.63,SBI,23,0,0,33,insufficient_funds,1
txn_635242,2026-08-29T01:36:41.570437,1390.42,IDFC,5,4,0,51,network_error,1
txn_280448,2026-08-17T01:36:41.570478,700.97,ICICI,18,2,0,26,bank_timeout,1
txn_671650,2026-08-04T01:36:41.570517,371.83,ICICI,13,0,0,11,issuer_down,1
txn_357665,2026-08-17T01:36:41.570578,436.13,YesBank,17,0,0,10,issuer_down,1
txn_327645,2026-07-24T01:36:41.570617,1447.33,HDFC,8,1,0,35,bank_timeout,0
txn_760775,2026-08-15T01:36:41.570656,183.79,ICICI,13,3,1,34,insufficient_funds,1
txn_838345,2026-08-12T01:36:41.570706,1052.07,Axis,2,0,1,26,issuer_down,1
txn_318134,2026-08-22T01:36:41.570754,1250.34,ICICI,7,0,1,32,bank_timeout,1
txn_323810,2026-08-30T01:36:41.570799,85.29,IDFC,22,1,0,51,card_expired,0
txn_756282,2026-08-01T01:36:41.570848,1714.35,SBI,7,1,0,29,card_expired,0
txn_254782,2026-08-01T01:36:41.570889,1666.67,HDFC,3,1,1,74,bank_timeout,0
txn_463339,2026-07-23T01:36:41.570928,1282.81,Kotak,23,1,0,8,insufficient_funds,1
txn_700613,2026-08-31T01:36:41.570967,1499.8,SBI,3,1,0,69,network_error,0
txn_770688,2026-07-28T01:36:41.571006,2498.43,IDFC,14,0,0,13,insufficient_funds,1
txn_598716,2026-08-23T01:36:41.571054,3909.92,Kotak,7,1,1,31,risk_block,0
txn_479862,2026-09-05T01:36:41.571099,1118.55,HDFC,21,3,0,21,insufficient_funds,1
txn_113224,2026-08-02T01:36:41.571141,638.11,IDFC,20,0,1,74,network_error,1
txn_398512,2026-07-25T01:36:41.571279,1898.66,IDFC,19,1,1,2,bank_timeout,1
txn_765755,2026-08-16T01:36:41.571382,987.59,Axis,5,0,0,29,card_expired,0
txn_306524,2026-07-28T01:36:41.571425,120.75,HDFC,6,4,0,20,card_expired,0
txn_841804,2026-08-08T01:36:41.571466,8973.47,Kotak,22,0,1,62,insufficient_funds,1
txn_662288,2026-08-07T01:36:41.571506,640.46,YesBank,15,1,0,47,card_expired,0
txn_283675,2026-08-04T01:36:41.571546,174.79,HDFC,7,2,1,32,bank_timeout,0
txn_605815,2026-08-14T01:36:41.571586,745.37,IDFC,22,0,1,8,insufficient_funds,1
txn_830399,2026-07-25T01:36:41.571625,667.6,SBI,18,1,0,34,otp_failed,0
txn_354726,2026-08-04T01:36:41.571665,524.86,Axis,19,1,0,55,network_error,1
txn_194914,2026-08-14T01:36:41.571704,847.63,Axis,17,2,1,20,bank_timeout,0
txn_881817,2026-08-15T01:36:41.571747,161.8,IDFC,11,2,0,9,card_expired,0
txn_986040,2026-07-29T01:36:41.571794,414.56,YesBank,23,4,0,14,otp_failed,0
txn_488822,2026-07-31T01:36:41.571835,788.67,HDFC,21,1,0,26,card_expired,0
txn_104263,2026-08-03T01:36:41.571880,739.25,YesBank,1,1,0,27,issuer_down,0
txn_784733,2026-09-04T01:36:41.571926,215.45,Axis,12,1,0,45,network_error,1
txn_322320,2026-07-29T01:36:41.571965,1036.43,SBI,20,1,0,21,network_error,1
txn_861379,2026-08-17T01:36:41.572032,280.89,SBI,21,0,0,22,otp_failed,1
txn_793264,2026-09-05T01:36:41.572075,810.57,HDFC,12,0,0,66,insufficient_funds,1
txn_599883,2026-08-07T01:36:41.572154,448.25,HDFC,10,1,0,35,network_error,0
txn_493554,2026-08-29T01:36:41.572294,1694.27,HDFC,16,3,0,47,insufficient_funds,0
txn_875435,2026-08-22T01:36:41.572359,322.41,IDFC,20,1,1,70,issuer_down,0
txn_980889,2026-08-30T01:36:41.572503,446.98,ICICI,14,0,0,17,insufficient_funds,1
txn_855164,2026-08-19T01:36:41.572544,684.14,YesBank,14,1,0,48,insufficient_funds,1
txn_234055,2026-08-11T01:36:41.572585,2501.05,IDFC,16,1,0,60,bank_timeout,0
txn_782705,2026-08-04T01:36:41.572625,34.88,IDFC,22,0,0,4,network_error,1
txn_850865,2026-08-05T01:36:41.572697,796.64,YesBank,1,0,1,30,insufficient_funds,1
txn_709719,2026-07-24T01:36:41.572738,1531.67,SBI,6,0,0,62,bank_timeout,1
txn_999005,2026-07-31T01:36:41.572779,102.93,Kotak,0,0,0,14,bank_timeout,0
txn_830051,2026-08-25T01:36:41.572819,94.96,HDFC,15,0,1,73,insufficient_funds,1
txn_966867,2026-09-02T01:36:41.572863,1087.06,IDFC,23,2,0,62,risk_block,1
txn_576072,2026-09-03T01:36:41.572905,120.4,SBI,7,3,0,74,insufficient_funds,0
txn_107657,2026-08-02T01:36:41.572946,984.36,YesBank,14,0,0,20,issuer_down,1
txn_395804,2026-08-12T01:36:41.572986,1026.18,ICICI,17,1,0,32,bank_timeout,1
txn_388075,2026-07-26T01:36:41.573043,3056.06,ICICI,10,2,0,29,network_error,0
txn_956101,2026-08-29T01:36:41.573089,3966.63,HDFC,14,1,0,59,insufficient_funds,1
txn_225991,2026-07-23T01:36:41.573131,470.02,ICICI,5,3,0,28,insufficient_funds,0
txn_186231,2026-08-18T01:36:41.573172,669.97,YesBank,18,2,0,40,risk_block,0
txn_233541,2026-08-30T01:36:41.573212,404.56,SBI,15,1,1,53,risk_block,0
txn_778250,2026-08-07T01:36:41.573254,1068.61,Kotak,10,3,0,31,otp_failed,1
txn_263038,2026-08-03T01:36:41.573295,3120.27,Axis,6,0,0,27,issuer_down,1
txn_244353,2026-08-09T01:36:41.573335,862.87,Axis,23,2,0,30,insufficient_funds,1
txn_426032,2026-08-27T01:36:41.573375,1139.44,Kotak,21,3,1,68,bank_timeout,1
txn_776555,2026-08-01T01:36:41.573415,732.12,YesBank,0,0,0,50,issuer_down,1
txn_537785,2026-08-03T01:36:41.573455,1917.64,Axis,6,0,1,32,otp_failed,0
txn_438076,2026-08-26T01:36:41.573494,3683.75,YesBank,1,4,0,13,network_error,1
txn_808691,2026-08-31T01:36:41.573533,1954.61,SBI,2,3,0,21,network_error,0
txn_650719,2026-08-12T01:36:41.573572,2382.89,SBI,4,4,0,38,bank_timeout,1
txn_445114,2026-08-30T01:36:41.573610,1019.99,Axis,15,1,0,17,insufficient_funds,1
txn_147837,2026-08-23T01:36:41.573649,3666.06,SBI,11,0,1,3,insufficient_funds,1
txn_935700,2026-09-04T01:36:41.573687,3361.08,Axis,3,1,0,60,insufficient_funds,0
txn_993093,2026-08-05T01:36:41.573726,2910.53,SBI,12,0,0,64,bank_timeout,0
txn_487960,2026-08-05T01:36:41.573765,2155.79,Axis,5,2,1,51,insufficient_funds,1
txn_294555,2026-08-04T01:36:41.573803,1311.84,IDFC,15,0,0,33,card_expired,1
txn_438041,2026-08-22T01:36:41.573842,239.81,Kotak,0,2,0,66,issuer_down,1
txn_860581,2026-08-28T01:36:41.573886,626.12,ICICI,9,0,0,61,otp_failed,1
txn_200734,2026-08-30T01:36:41.573928,640.73,ICICI,11,2,1,62,otp_failed,0
txn_252360,2026-07-26T01:36:41.573967,305.12,SBI,19,1,0,22,bank_timeout,1
txn_128380,2026-08-05T01:36:41.574011,3533.1,Axis,22,1,0,19,issuer_down,1
txn_584410,2026-09-03T01:36:41.574154,371.18,SBI,11,1,1,22,bank_timeout,1
txn_232028,2026-08-13T01:36:41.574221,500.51,Kotak,21,0,0,49,network_error,0
txn_442962,2026-08-05T01:36:41.574427,271.08,Axis,4,0,0,20,bank_timeout,1
txn_800601,2026-08-25T01:36:41.574505,391.53,ICICI,3,2,1,6,risk_block,0
txn_297133,2026-08-23T01:36:41.574559,652.26,SBI,12,0,1,26,otp_failed,0
txn_861985,2026-07-29T01:36:41.574606,38.85,YesBank,12,0,0,14,card_expired,0
txn_244832,2026-07-28T01:36:41.574654,895.6,YesBank,16,0,1,66,network_error,1
txn_963051,2026-08-07T01:36:41.574698,110.02,IDFC,14,0,1,14,bank_timeout,1
txn_994235,2026-07-25T01:36:41.574748,3051.24,HDFC,0,0,0,1,bank_timeout,1
txn_576410,2026-08-17T01:36:41.574789,1464.74,Kotak,16,2,1,28,network_error,1
txn_494274,2026-08-31T01:36:41.574836,2172.48,ICICI,13,0,0,20,insufficient_funds,0
txn_947644,2026-07-29T01:36:41.574880,735.45,Axis,9,0,0,43,insufficient_funds,1
txn_728349,2026-07-23T01:36:41.574925,235.26,IDFC,23,0,0,44,bank_timeout,1
txn_148320,2026-08-11T01:36:41.574971,278.85,Kotak,0,1,0,5,issuer_down,1
txn_588011,2026-08-10T01:36:41.575012,1023.21,SBI,9,0,0,26,network_error,1
txn_894557,2026-08-09T01:36:41.575056,740.59,HDFC,0,0,0,53,risk_block,0
txn_782568,2026-08-24T01:36:41.575096,964.58,ICICI,17,1,0,33,bank_timeout,0
txn_345014,2026-08-18T01:36:41.575140,319.08,ICICI,5,0,0,70,issuer_down,0
txn_127723,2026-08-30T01:36:41.575180,427.08,Kotak,10,0,0,71,insufficient_funds,1
txn_553449,2026-09-04T01:36:41.575224,72.2,Kotak,0,0,0,44,insufficient_funds,0
txn_295804,2026-08-11T01:36:41.575264,1853.76,YesBank,8,0,1,48,network_error,0
txn_813708,2026-08-16T01:36:41.575312,108.61,Axis,14,0,0,46,otp_failed,0
txn_996782,2026-09-02T01:36:41.575358,720.19,IDFC,10,0,0,15,insufficient_funds,0
txn_244539,2026-08-02T01:36:41.575396,493.57,ICICI,13,0,0,52,risk_block,0
txn_854950,2026-08-06T01:36:41.575437,1075.7,ICICI,3,1,0,4,network_error,1
txn_732259,2026-08-30T01:36:41.575478,850.46,IDFC,6,0,1,61,insufficient_funds,0
txn_516885,2026-08-16T01:36:41.575526,911.02,YesBank,0,0,0,47,issuer_down,1
txn_332601,2026-08-10T01:36:41.575571,446.69,HDFC,14,1,0,42,network_error,1
txn_334386,2026-08-01T01:36:41.575609,917.13,Kotak,3,0,1,60,risk_block,0
txn_963663,2026-07-31T01:36:41.575647,465.43,Kotak,14,0,1,33,insufficient_funds,1
txn_551000,2026-08-12T01:36:41.575686,184.22,IDFC,2,1,0,10,bank_timeout,1
txn_396037,2026-07-26T01:36:41.575724,258.82,YesBank,6,1,0,24,insufficient_funds,1
txn_503322,2026-08-31T01:36:41.575763,3364.63,IDFC,12,0,0,36,insufficient_funds,1
txn_960226,2026-07-24T01:36:41.575801,325.09,HDFC,1,1,0,32,card_expired,0
txn_880641,2026-08-14T01:36:41.575839,489.11,Kotak,2,0,0,44,risk_block,0
txn_450877,2026-08-21T01:36:41.575877,287.07,Axis,3,3,0,47,insufficient_funds,0
txn_727035,2026-07-28T01:36:41.575915,567.61,Axis,16,0,1,3,issuer_down,1
txn_700847,2026-08-25T01:36:41.575954,272.88,YesBank,20,0,0,72,otp_failed,1
txn_659873,2026-08-10T01:36:41.575992,1378.54,YesBank,19,1,0,23,bank_timeout,1
txn_634670,2026-08-15T01:36:41.576030,641.0,SBI,19,0,1,55,insufficient_funds,0
txn_134594,2026-08-07T01:36:41.576068,110.9,Axis,4,0,0,49,insufficient_funds,0
txn_303981,2026-08-17T01:36:41.576106,1093.2,Axis,13,0,0,66,insufficient_funds,1
txn_262624,2026-08-21T01:36:41.576145,1129.55,ICICI,9,2,0,54,bank_timeout,1
txn_656110,2026-09-02T01:36:41.576186,304.01,SBI,2,0,0,8,bank_timeout,1
txn_807548,2026-08-31T01:36:41.576233,1049.61,Kotak,11,3,0,13,issuer_down,0
txn_585278,2026-08-22T01:36:41.576279,105.71,IDFC,18,1,0,2,bank_timeout,0
txn_237478,2026-08-21T01:36:41.576322,2251.29,HDFC,22,0,0,73,otp_failed,1
txn_596037,2026-07-29T01:36:41.576369,1610.21,Axis,6,0,0,52,insufficient_funds,0
txn_655462,2026-07-31T01:36:41.576412,2973.21,ICICI,4,2,0,7,risk_block,0
txn_760902,2026-09-01T01:36:41.576460,933.66,IDFC,1,0,0,21,otp_failed,1
txn_362307,2026-08-20T01:36:41.576506,540.82,HDFC,12,0,0,53,otp_failed,0
txn_399631,2026-08-19T01:36:41.576549,682.36,IDFC,20,2,0,26,insufficient_funds,0
txn_153352,2026-08-20T01:36:41.576597,216.65,SBI,8,1,1,42,otp_failed,0
txn_877499,2026-08-26T01:36:41.576639,980.73,ICICI,15,0,1,58,insufficient_funds,0
txn_518647,2026-07-23T01:36:41.576677,716.94,IDFC,1,0,0,49,risk_block,1
txn_713858,2026-08-13T01:36:41.576715,975.52,HDFC,22,1,0,43,risk_block,0
txn_858994,2026-08-30T01:36:41.576753,295.42,HDFC,4,0,0,31,bank_timeout,1
txn_703103,2026-08-09T01:36:41.576793,316.89,ICICI,4,1,1,8,bank_timeout,1
txn_282051,2026-09-02T01:36:41.576832,2109.61,HDFC,7,1,0,66,risk_block,1
txn_903585,2026-08-24T01:36:41.576870,1180.59,ICICI,22,0,1,21,insufficient_funds,1
txn_713777,2026-08-28T01:36:41.576908,2177.34,Kotak,15,2,0,11,insufficient_funds,1
txn_352791,2026-08-16T01:36:41.576946,200.93,Axis,17,3,0,44,insufficient_funds,0
txn_487732,2026-08-29T01:36:41.576984,76.35,SBI,22,2,0,47,bank_timeout,0
txn_980412,2026-08-24T01:36:41.577025,889.91,IDFC,11,0,0,22,issuer_down,0
txn_277558,2026-08-13T01:36:41.577063,3226.26,ICICI,1,0,1,27,issuer_down,1
txn_204555,2026-08-12T01:36:41.577101,216.49,Kotak,0,0,0,19,insufficient_funds,1
txn_575584,2026-09-02T01:36:41.577139,93.57,Kotak,14,0,0,72,insufficient_funds,0
txn_787016,2026-08-24T01:36:41.577178,483.25,ICICI,1,0,0,46,risk_block,1
txn_477869,2026-08-03T01:36:41.577221,246.4,HDFC,19,1,1,58,insufficient_funds,0
txn_731827,2026-08-27T01:36:41.577265,1356.31,SBI,22,0,0,58,bank_timeout,1
txn_978629,2026-09-02T01:36:41.577305,1955.27,YesBank,2,0,0,54,risk_block,1
txn_981718,2026-09-02T01:36:41.577346,388.77,HDFC,22,2,0,3,insufficient_funds,1
txn_168926,2026-08-18T01:36:41.577389,174.2,YesBank,23,1,1,31,insufficient_funds,1
txn_390998,2026-08-04T01:36:41.577428,503.36,YesBank,5,0,1,19,bank_timeout,1
txn_702272,2026-08-20T01:36:41.577471,373.95,ICICI,19,0,1,47,issuer_down,0
txn_616595,2026-08-27T01:36:41.577511,563.15,IDFC,14,0,1,9,issuer_down,1
txn_123284,2026-08-18T01:36:41.577553,6531.61,ICICI,2,0,0,70,bank_timeout,1
txn_995331,2026-08-31T01:36:41.577598,368.95,SBI,4,2,0,49,bank_timeout,0
txn_667109,2026-07-27T01:36:41.577656,112.79,ICICI,3,0,1,35,bank_timeout,0
txn_764917,2026-08-09T01:36:41.577705,873.51,Axis,19,1,1,30,insufficient_funds,1
txn_240905,2026-08-12T01:36:41.577751,190.04,IDFC,2,0,1,10,bank_timeout,0
txn_852254,2026-08-22T01:36:41.577793,346.41,Axis,17,2,0,68,bank_timeout,0
txn_495755,2026-08-23T01:36:41.577840,593.05,ICICI,23,1,0,48,issuer_down,1
txn_631633,2026-09-02T01:36:41.577883,1385.72,ICICI,4,1,0,12,bank_timeout,1
txn_238593,2026-08-09T01:36:41.577927,161.26,IDFC,9,0,1,33,card_expired,0
txn_488612,2026-09-04T01:36:41.577973,441.28,YesBank,16,1,0,70,network_error,1
txn_193269,2026-08-25T01:36:41.578013,706.22,YesBank,15,0,0,16,bank_timeout,1
txn_768179,2026-08-11T01:36:41.578052,615.13,Axis,9,4,1,49,insufficient_funds,1
txn_642777,2026-08-09T01:36:41.578092,280.23,IDFC,3,1,0,14,bank_timeout,1
txn_310097,2026-07-25T01:36:41.578136,564.48,Axis,0,0,1,39,risk_block,0
txn_777160,2026-08-01T01:36:41.578176,277.92,SBI,4,3,0,74,insufficient_funds,1
txn_180257,2026-08-30T01:36:41.578215,223.51,HDFC,14,0,1,42,bank_timeout,1
txn_875158,2026-08-29T01:36:41.578346,184.92,SBI,12,2,0,40,risk_block,0
txn_442829,2026-08-21T01:36:41.578461,822.94,SBI,4,0,0,19,network_error,0
txn_298137,2026-08-06T01:36:41.578595,1338.03,HDFC,12,4,0,13,bank_timeout,0
txn_395138,2026-08-09T01:36:41.578635,243.47,Kotak,2,1,1,34,insufficient_funds,1
txn_545358,2026-07-24T01:36:41.578673,881.59,Kotak,8,2,0,60,bank_timeout,1
txn_457792,2026-08-16T01:36:41.578719,64.85,ICICI,21,2,0,21,insufficient_funds,1
txn_535071,2026-08-15T01:36:41.578802,317.92,SBI,19,2,1,58,risk_block,0
txn_765847,2026-08-09T01:36:41.578881,1387.82,YesBank,14,0,0,16,insufficient_funds,1
txn_356190,2026-09-03T01:36:41.578924,1152.39,IDFC,6,0,0,1,network_error,1
txn_575595,2026-08-20T01:36:41.578990,687.25,YesBank,14,0,0,53,risk_block,0
txn_742650,2026-08-03T01:36:41.579031,4609.5,IDFC,8,2,0,6,risk_block,0
txn_863760,2026-08-12T01:36:41.579069,100.47,Axis,20,1,0,30,otp_failed,0
txn_552891,2026-08-17T01:36:41.579108,55.1,YesBank,5,0,1,51,network_error,1
txn_524871,2026-08-20T01:36:41.579146,626.91,HDFC,22,1,0,14,insufficient_funds,1
txn_591450,2026-08-23T01:36:41.579185,707.71,YesBank,8,0,0,14,risk_block,0
txn_285378,2026-08-26T01:36:41.579223,1632.43,HDFC,23,0,0,62,otp_failed,1
txn_902720,2026-08-28T01:36:41.579265,3626.94,YesBank,17,1,0,48,network_error,1
txn_237653,2026-08-25T01:36:41.579305,795.06,HDFC,1,2,0,45,risk_block,1
txn_976338,2026-07-30T01:36:41.579429,1180.89,YesBank,14,0,0,52,bank_timeout,1
txn_493409,2026-08-13T01:36:41.579475,3367.62,Axis,22,0,0,22,otp_failed,0
txn_257584,2026-08-25T01:36:41.579516,1311.9,ICICI,22,4,0,38,insufficient_funds,1
txn_818675,2026-08-24T01:36:41.579556,1403.74,SBI,9,4,0,40,risk_block,0
txn_982470,2026-08-16T01:36:41.579596,747.21,Kotak,5,2,0,8,insufficient_funds,1
txn_552372,2026-07-29T01:36:41.579642,131.2,ICICI,10,0,0,37,insufficient_funds,0
txn_808140,2026-09-05T01:36:41.579680,431.56,IDFC,8,0,0,19,bank_timeout,0
txn_758681,2026-09-01T01:36:41.579719,2848.64,Kotak,20,0,0,33,network_error,0
txn_138211,2026-08-07T01:36:41.579756,285.77,HDFC,13,0,0,49,risk_block,0
txn_529852,2026-07-27T01:36:41.579794,1115.8,Kotak,18,1,0,15,otp_failed,1
txn_205848,2026-07-29T01:36:41.579833,1881.59,ICICI,1,2,0,14,risk_block,0
txn_349768,2026-08-25T01:36:41.579871,898.4,SBI,20,2,0,16,issuer_down,0
txn_828342,2026-08-13T01:36:41.579909,1174.3,SBI,10,0,0,62,card_expired,0
txn_660315,2026-07-24T01:36:41.579946,1665.58,YesBank,10,0,0,73,bank_timeout,0
txn_819407,2026-08-05T01:36:41.579984,942.52,ICICI,2,0,0,41,bank_timeout,1
txn_978135,2026-09-05T01:36:41.580021,2367.42,Axis,0,1,0,28,bank_timeout,1
txn_668302,2026-08-06T01:36:41.580057,105.04,HDFC,14,0,0,60,bank_timeout,1
txn_719328,2026-08-06T01:36:41.580094,951.7,HDFC,5,2,0,48,bank_timeout,0
txn_877881,2026-08-10T01:36:41.580130,2422.75,Axis,16,0,0,59,card_expired,0
txn_254245,2026-09-02T01:36:41.580172,94.1,YesBank,14,0,0,37,issuer_down,1
txn_267647,2026-08-15T01:36:41.580211,131.17,ICICI,8,4,0,47,insufficient_funds,1
txn_226060,2026-08-16T01:36:41.580249,171.81,HDFC,12,1,1,51,bank_timeout,0
txn_256951,2026-08-02T01:36:41.580287,699.31,YesBank,11,0,1,68,bank_timeout,1
txn_607732,2026-08-29T01:36:41.580325,846.09,Axis,18,2,1,24,risk_block,1
txn_912853,2026-07-23T01:36:41.580363,413.31,Axis,4,0,0,19,insufficient_funds,0
txn_935083,2026-08-31T01:36:41.580473,339.43,YesBank,10,1,0,56,bank_timeout,0
txn_468377,2026-08-01T01:36:41.580563,571.64,HDFC,18,0,1,52,network_error,1
txn_514299,2026-09-02T01:36:41.580607,232.52,IDFC,14,1,1,51,issuer_down,1
txn_293392,2026-08-04T01:36:41.580648,302.94,IDFC,12,0,1,72,network_error,1
txn_742613,2026-08-27T01:36:41.580687,522.16,Kotak,14,1,1,22,risk_block,0
txn_877949,2026-08-02T01:36:41.580727,1726.32,ICICI,20,0,1,24,otp_failed,0
txn_440615,2026-09-01T01:36:41.580767,342.96,IDFC,2,1,1,1,insufficient_funds,1
txn_121281,2026-08-23T01:36:41.580806,1479.48,Axis,8,1,1,66,insufficient_funds,0
